Pallet no;Exporter Name;Shipping line;Vessel Name;Port of departure;Port of arrival;Packing house departure date;ETA;Exporter Ref;Seal No;Container No;Species;Variety;Size_caliber_count;Nb of fruits per box;Class;Brand;Country of origin;Packaging;Packaging type;Box tare (kg);Net weight per box (kg);Net weight per pallet (kg);Cartons per pallet;Nb of pallets;Lot no;Date of packaging;PACKING HOUSE/PRODUCER;Producer;ETD;Temperature recorder no;Date of harvesting;Plot;Certifications;GGN;COC;Certified GG/COC;Forwarder at destination
2493;KAKUZI PLC;MAERSK;TAYMA EXPRESS;MOMBASA;ROTTERDAM;;30/07/2025;255295839_3;ML-KE0050467;MMAU1291060;Avocat;HASS;28;70;1;ZEBRA;KE;;COLIS 10KG;0.6;10.0;1080.0;108;1;;;;;26/06/2025;;;;;4049929945616 [For Cartons Marked OE];;;COOL CONTROL
2494;KAKUZI PLC;MAERSK;TAYMA EXPRESS;MOMBASA;ROTTERDAM;;30/07/2025;255295839_3;ML-KE0050467;MMAU1291060;Avocat;HASS;20;20;1;ZEBRA;KE;;COLIS 4KG;0.31;4.0;1104.0;276;1;;;;;26/06/2025;;;;;4049929945616 [For Cartons Marked OE];;;COOL CONTROL
2499;KAKUZI PLC;MAERSK;TAYMA EXPRESS;MOMBASA;ROTTERDAM;;30/07/2025;255295839_3;ML-KE0050467;MMAU1291060;Avocat;HASS;24;24;1;ZEBRA;KE;;COLIS 4KG;0.31;4.0;1104.0;276;1;;;;;26/06/2025;;;;;4049929945616 [For Cartons Marked OE];;;COOL CONTROL
2500;KAKUZI PLC;MAERSK;TAYMA EXPRESS;MOMBASA;ROTTERDAM;;30/07/2025;255295839_3;ML-KE0050467;MMAU1291060;Avocat;HASS;22;22;1;ZEBRA;KE;;COLIS 4KG;0.31;4.0;1104.0;276;1;;;;;26/06/2025;;;;;4049929945616 [For Cartons Marked OE];;;COOL CONTROL
2505;KAKUZI PLC;MAERSK;TAYMA EXPRESS;MOMBASA;ROTTERDAM;;30/07/2025;255295839_3;ML-KE0050467;MMAU1291060;Avocat;HASS;22;22;1;ZEBRA;KE;;COLIS 4KG;0.31;4.0;1104.0;276;1;;;;;26/06/2025;;;;;4049929945616 [For Cartons Marked OE];;;COOL CONTROL
2515;KAKUZI PLC;MAERSK;TAYMA EXPRESS;MOMBASA;ROTTERDAM;;30/07/2025;255295839_3;ML-KE0050467;MMAU1291060;Avocat;HASS;24;24;1;ZEBRA;KE;;COLIS 4KG;0.31;4.0;1104.0;276;1;;;;;26/06/2025;;;;;4049929945616 [For Cartons Marked OE];;;COOL CONTROL
2516;KAKUZI PLC;MAERSK;TAYMA EXPRESS;MOMBASA;ROTTERDAM;;30/07/2025;255295839_3;ML-KE0050467;MMAU1291060;Avocat;HASS;28;70;1;ZEBRA;KE;;COLIS 10KG;0.6;10.0;1080.0;108;1;;;;;26/06/2025;;;;;4049929945616 [For Cartons Marked OE];;;COOL CONTROL
2522;KAKUZI PLC;MAERSK;TAYMA EXPRESS;MOMBASA;ROTTERDAM;;30/07/2025;255295839_3;ML-KE0050467;MMAU1291060;Avocat;HASS;24;24;1;ZEBRA;KE;;COLIS 4KG;0.31;4.0;1104.0;276;1;;;;;26/06/2025;;;;;4049929945616 [For Cartons Marked OE];;;COOL CONTROL
2525;KAKUZI PLC;MAERSK;TAYMA EXPRESS;MOMBASA;ROTTERDAM;;30/07/2025;255295839_3;ML-KE0050467;MMAU1291060;Avocat;HASS;30;75;1;ZEBRA;KE;;COLIS 10KG;0.6;10.0;1080.0;108;1;;;;;26/06/2025;;;;;4049929945616 [For Cartons Marked OE];;;COOL CONTROL
2537;KAKUZI PLC;MAERSK;TAYMA EXPRESS;MOMBASA;ROTTERDAM;;30/07/2025;255295839_3;ML-KE0050467;MMAU1291060;Avocat;HASS;22;22;1;ZEBRA;KE;;COLIS 4KG;0.31;4.0;1104.0;276;1;;;;;26/06/2025;;;;;4049929945616 [For Cartons Marked OE];;;COOL CONTROL
