Pallet no;Exporter Name;Shipping line;Vessel Name;Port of departure;Port of arrival;Packing house departure date;ETA;Exporter Ref;Seal No;Container No;Species;Variety;Size_caliber_count;Nb of fruits per box;Class;Brand;Country of origin;Packaging;Packaging type;Box tare (kg);Net weight per box (kg);Net weight per pallet (kg);Cartons per pallet;Nb of pallets;Lot no;Date of packaging;PACKING HOUSE/PRODUCER;Producer;ETD;Temperature recorder no;Date of harvesting;Plot;Certifications;GGN;COC;Certified GG/COC;Forwarder at destination
2506;KAKUZI PLC;MAERSK;TAYMA EXPRESS;MOMBASA;ROTTERDAM;;30/07/2025;255295839_4; ML-KE0050427;MMAU1411253;Avocat;HASS;20;20;1;ZEBRA;KE;;COLIS 4KG;0.31;4.0;1104.0;276;1;;;;;26/06/2025;;;;;4049929945616 [For Cartons Marked OE];;;COOL CONTROL
2508;KAKUZI PLC;MAERSK;TAYMA EXPRESS;MOMBASA;ROTTERDAM;;30/07/2025;255295839_4; ML-KE0050427;MMAU1411253;Avocat;HASS;24;24;1;ZEBRA;KE;;COLIS 4KG;0.31;4.0;1104.0;276;1;;;;;26/06/2025;;;;;4049929945616 [For Cartons Marked OE];;;COOL CONTROL
2509;KAKUZI PLC;MAERSK;TAYMA EXPRESS;MOMBASA;ROTTERDAM;;30/07/2025;255295839_4; ML-KE0050427;MMAU1411253;Avocat;HASS;20;20;1;ZEBRA;KE;;COLIS 4KG;0.31;4.0;1104.0;276;1;;;;;26/06/2025;;;;;4049929945616 [For Cartons Marked OE];;;COOL CONTROL
2510;KAKUZI PLC;MAERSK;TAYMA EXPRESS;MOMBASA;ROTTERDAM;;30/07/2025;255295839_4; ML-KE0050427;MMAU1411253;Avocat;HASS;16;16;1;ZEBRA;KE;;COLIS 4KG;0.31;4.0;1104.0;276;1;;;;;26/06/2025;;;;;4049929945616 [For Cartons Marked OE];;;COOL CONTROL
2511;KAKUZI PLC;MAERSK;TAYMA EXPRESS;MOMBASA;ROTTERDAM;;30/07/2025;255295839_4; ML-KE0050427;MMAU1411253;Avocat;HASS;22;22;1;ZEBRA;KE;;COLIS 4KG;0.31;4.0;1104.0;276;1;;;;;26/06/2025;;;;;4049929945616 [For Cartons Marked OE];;;COOL CONTROL
2514;KAKUZI PLC;MAERSK;TAYMA EXPRESS;MOMBASA;ROTTERDAM;;30/07/2025;255295839_4; ML-KE0050427;MMAU1411253;Avocat;HASS;20;20;1;ZEBRA;KE;;COLIS 4KG;0.31;4.0;1104.0;276;1;;;;;26/06/2025;;;;;4049929945616 [For Cartons Marked OE];;;COOL CONTROL
2519;KAKUZI PLC;MAERSK;TAYMA EXPRESS;MOMBASA;ROTTERDAM;;30/07/2025;255295839_4; ML-KE0050427;MMAU1411253;Avocat;HASS;22;22;1;ZEBRA;KE;;COLIS 4KG;0.31;4.0;1104.0;276;1;;;;;26/06/2025;;;;;4049929945616 [For Cartons Marked OE];;;COOL CONTROL
2520;KAKUZI PLC;MAERSK;TAYMA EXPRESS;MOMBASA;ROTTERDAM;;30/07/2025;255295839_4; ML-KE0050427;MMAU1411253;Avocat;HASS;20;20;1;ZEBRA;KE;;COLIS 4KG;0.31;4.0;1104.0;276;1;;;;;26/06/2025;;;;;4049929945616 [For Cartons Marked OE];;;COOL CONTROL
2530;KAKUZI PLC;MAERSK;TAYMA EXPRESS;MOMBASA;ROTTERDAM;;30/07/2025;255295839_4; ML-KE0050427;MMAU1411253;Avocat;HASS;22;22;1;ZEBRA;KE;;COLIS 4KG;0.31;4.0;1104.0;276;1;;;;;26/06/2025;;;;;4049929945616 [For Cartons Marked OE];;;COOL CONTROL
2531;KAKUZI PLC;MAERSK;TAYMA EXPRESS;MOMBASA;ROTTERDAM;;30/07/2025;255295839_4; ML-KE0050427;MMAU1411253;Avocat;HASS;20;20;1;ZEBRA;KE;;COLIS 4KG;0.31;4.0;1104.0;276;1;;;;;26/06/2025;;;;;4049929945616 [For Cartons Marked OE];;;COOL CONTROL
