Pallet no;Exporter Name;Shipping line;Vessel Name;Port of departure;Port of arrival;Packing house departure date;ETA;Exporter Ref;Seal No;Container No;Species;Variety;Size_caliber_count;Nb of fruits per box;Class;Brand;Country of origin;Packaging;Packaging type;Box tare (kg);Net weight per box (kg);Net weight per pallet (kg);Cartons per pallet;Nb of pallets;Lot no;Date of packaging;PACKING HOUSE/PRODUCER;Producer;ETD;Temperature recorder no;Date of harvesting;Plot;Certifications;GGN;COC;Certified GG/COC;Forwarder at destination
2608;KAKUZI PLC;MAERSK;LOS ANGELES EXPRESS;MOMBASA;ROTTERDAM;;06/08/2025;255296516_2;ML-KE0050287;MMAU1356557;Avocat;HASS;26;65;1;ZEBRA;KE;;COLIS 10KG;0.6;10.0;1080.0;108;1;;;;;26/06/2025;;;;;4049929945616 [For Cartons Marked OE];;;COOL CONTROL
2617;KAKUZI PLC;MAERSK;LOS ANGELES EXPRESS;MOMBASA;ROTTERDAM;;06/08/2025;255296516_2;ML-KE0050287;MMAU1356557;Avocat;HASS;26;65;1;ZEBRA;KE;;COLIS 10KG;0.6;10.0;1080.0;108;1;;;;;26/06/2025;;;;;4049929945616 [For Cartons Marked OE];;;COOL CONTROL
2626;KAKUZI PLC;MAERSK;LOS ANGELES EXPRESS;MOMBASA;ROTTERDAM;;06/08/2025;255296516_2;ML-KE0050287;MMAU1356557;Avocat;HASS;26;65;1;ZEBRA;KE;;COLIS 10KG;0.6;10.0;1080.0;108;1;;;;;26/06/2025;;;;;4049929945616 [For Cartons Marked OE];;;COOL CONTROL
2635;KAKUZI PLC;MAERSK;LOS ANGELES EXPRESS;MOMBASA;ROTTERDAM;;06/08/2025;255296516_2;ML-KE0050287;MMAU1356557;Avocat;HASS;16;16;1;ZEBRA;KE;;COLIS 4KG;0.31;4.0;1104.0;276;1;;;;;26/06/2025;;;;;4049929945616 [For Cartons Marked OE];;;COOL CONTROL
2639;KAKUZI PLC;MAERSK;LOS ANGELES EXPRESS;MOMBASA;ROTTERDAM;;06/08/2025;255296516_2;ML-KE0050287;MMAU1356557;Avocat;HASS;20;20;1;ZEBRA;KE;;COLIS 4KG;0.31;4.0;1104.0;276;1;;;;;26/06/2025;;;;;4049929945616 [For Cartons Marked OE];;;COOL CONTROL
2640;KAKUZI PLC;MAERSK;LOS ANGELES EXPRESS;MOMBASA;ROTTERDAM;;06/08/2025;255296516_2;ML-KE0050287;MMAU1356557;Avocat;HASS;20;20;1;ZEBRA;KE;;COLIS 4KG;0.31;4.0;1104.0;276;1;;;;;26/06/2025;;;;;4049929945616 [For Cartons Marked OE];;;COOL CONTROL
2642;KAKUZI PLC;MAERSK;LOS ANGELES EXPRESS;MOMBASA;ROTTERDAM;;06/08/2025;255296516_2;ML-KE0050287;MMAU1356557;Avocat;HASS;22;22;1;ZEBRA;KE;;COLIS 4KG;0.31;4.0;1104.0;276;1;;;;;26/06/2025;;;;;4049929945616 [For Cartons Marked OE];;;COOL CONTROL
2643;KAKUZI PLC;MAERSK;LOS ANGELES EXPRESS;MOMBASA;ROTTERDAM;;06/08/2025;255296516_2;ML-KE0050287;MMAU1356557;Avocat;HASS;16;16;1;ZEBRA;KE;;COLIS 4KG;0.31;4.0;1104.0;276;1;;;;;26/06/2025;;;;;4049929945616 [For Cartons Marked OE];;;COOL CONTROL
2644;KAKUZI PLC;MAERSK;LOS ANGELES EXPRESS;MOMBASA;ROTTERDAM;;06/08/2025;255296516_2;ML-KE0050287;MMAU1356557;Avocat;HASS;16;16;1;ZEBRA;KE;;COLIS 4KG;0.31;4.0;1104.0;276;1;;;;;26/06/2025;;;;;4049929945616 [For Cartons Marked OE];;;COOL CONTROL
2645;KAKUZI PLC;MAERSK;LOS ANGELES EXPRESS;MOMBASA;ROTTERDAM;;06/08/2025;255296516_2;ML-KE0050287;MMAU1356557;Avocat;HASS;20;20;1;ZEBRA;KE;;COLIS 4KG;0.31;4.0;1104.0;276;1;;;;;26/06/2025;;;;;4049929945616 [For Cartons Marked OE];;;COOL CONTROL
2646;KAKUZI PLC;MAERSK;LOS ANGELES EXPRESS;MOMBASA;ROTTERDAM;;06/08/2025;255296516_2;ML-KE0050287;MMAU1356557;Avocat;HASS;18;18;1;ZEBRA;KE;;COLIS 4KG;0.31;4.0;1104.0;276;1;;;;;26/06/2025;;;;;4049929945616 [For Cartons Marked OE];;;COOL CONTROL
2647;KAKUZI PLC;MAERSK;LOS ANGELES EXPRESS;MOMBASA;ROTTERDAM;;06/08/2025;255296516_2;ML-KE0050287;MMAU1356557;Avocat;HASS;22;22;1;ZEBRA;KE;;COLIS 4KG;0.31;4.0;1104.0;276;1;;;;;26/06/2025;;;;;4049929945616 [For Cartons Marked OE];;;COOL CONTROL
2649;KAKUZI PLC;MAERSK;LOS ANGELES EXPRESS;MOMBASA;ROTTERDAM;;06/08/2025;255296516_2;ML-KE0050287;MMAU1356557;Avocat;HASS;24;24;1;ZEBRA;KE;;COLIS 4KG;0.31;4.0;1104.0;276;1;;;;;26/06/2025;;;;;4049929945616 [For Cartons Marked OE];;;COOL CONTROL
